jawa,indonesia
anom (ts),muda
antawecana (ta),"Penggambaran sinopsis cerita, adegan, tokoh pagelaran wayangyang disampaikan oleh dalang dengan cara dilagukan"
antem (tk),pukul/hantam
"anteng (tk,ts)",tenang
antop (tk),bersendawa
antuk (tk),dapat
anyang (tk),tawar (harga)
anyang-anyangen (ts),merasa seperti ingin kencing
anyar (ts),baru
anyel (ts),jengkel
anyep (ts),dingin (tubuh atau bagian tubuh)
anyep (ts),tawar
anyes (ts),dingin (benda)
apa (tg),apa
apal (ts)),hafal
apek (ts),bau tidak sedap yang berasal dari barang usang atau kamar yang lama tertutup
apem (ta),apam
apes (tk),sial
api-api (tk),pura-pura
apik (ts),baik
apu (ta),kapur sirih;
apura (ta),maaf
apus (ta),sejenis bambu
apus (tk),bohong
ara-ara (ta),padang
arah (ta),arah
aran (ta),nama
arang (tkr),jarang
arang-arang (ts),jarang
aren (ta),enau
areng (ta),arang
arep (tsb),hendak
arga (ta),gunung
ari (tg),adik
ari-ari (ta),tali pusat
aris (tkr),lugas
arit (ta),sabit
arsa (tkr),akan ; depan
arta (ta),uang
aruh-aruh (tk),menyapa
arus (ts),anyir
arwah (ta),arwah
asah (tk),asah
asal (ta),asal
asat (ts),"habis airnya (untuk sungai, danau, dsb.)"
asem (ta),asam (buah)
asih (ta),kasih
asin (ts),asin
asma (ta),nama
asmara (ta),asmara
asmarandana (tg),nama metrum macapat
asor (tkr),kalah
asor (ts),nista
asrep; asrep (ts),dingin
asrep; asrep (ts),dingin
asri (ts),menyenangkan untuk dipandang
asta (ta),tangan
asta (tk),bawa
asu (ta),anjing
asung (tk),menghaturkan
ati (ta),hati
ati-ati (tkr),hati-hati
atis (ts),"dingin (untuk hawa, udara)"
atos (ts),keras
atur (tk),atur
aturi (tk),beri; persilakan
atus (ts),tidak lagi mengandung air
awak (ta),"badan, tubuh"
"awan (ta, tk)",siang
awang (tk),berhitung tanpa alat bantu
awang-awang (ta),langit bebas
awas (tpw),awas
awas (ts),tajam (pengelihatan)
aw�h (tk),beri
aw�t (ts),tidak cepat rusak
awis ; awis (tkr),mahal
awis-awis; awis-awis (ts),jarang
awit (tpy),karena
awoh (tk),berbuah
awon awon (ts),jelek/buruk
"awor (tk, tkt)",bercampur dengan
awrat (tk),berat
awu (ta),abu
awur (tk),sebar
"awur (tk, tkt)",asal-asalan
awut (tk),membuat berantakan
ayahan (ta),kewajiban
ayam; ayam (ta),ayam
ayem (ts),tentram (hati)
ayo (tpw),ayo
ayom (tk),perlindungan
ayu (ts),cantik
aywa (tpw),jangan
bab (ta),"bab, hal, mengenai"
babad (ta),cerita sejarah
babagan (tsb),tentang
babak-bundhas (ts),babak-belur
babal (ta),putik buah nangka
babar (ts),menjadi banyak
babaran (tk),bersalin
babat (ta),bagian dalam usus sapi
babat (tk),tebang
babit (tk),mengayunkan benda dengan menahan ujungnya
babon (ta),induk ayam
babu (ta),perempuan pembantu
babut (ta),permadani
bacem (tk),peram; dimasak dengan bumbu tertentu
bacin (ts),bau bangkai
bacut (tk),lanjut
badan (ta),diri
badh� (tk),tebak
badh�; badhe (tsb),akan
badheg (ts),bau busuk
badh�k (ta),air tapai
badhug (ta),tembok rendah untuk meletakkan sesuatu
bagaskara (ta),matahari
bagus (ts),tampan
bahu (ta),bahu; tenaga
bahureksa (ta),penguasa
bajang (ts),kerdil
bajing (ta),tupai
bajul (ta),buaya
bakal (ta),bahan pakaian
bakal (tsb),akan
bakar (tk),bakar
bakda (tkr),setelah
bakul (ta),pedagang
balang (tk),lempar
bal� (ta),rumah/bangunan
bal�n (tk),rujuk
bali (tk),pulang
balung (ta),tulang
banaspati (ta),hantu berbentuk api
banda (tk),mengikat kedua tangan ke belakang
bandan (ta),tawanan
bandar (ta),"agen besar, cukong"
bandar (ta),pelabuhan
bandayuda (tk),berperang
bandha (ta),harta
bandhul (ta),bandul
banger (ts),bau busuk (misalnya dari air keruh)
banget (tkr),sangat
bangga (tk),meronta
bangir (ts),mancung
bangka (tk),mati (kasar)
bangk� (ta),bangkai
bangk�kan (ta),pinggang
bangk�lan (ta),buntalan besar
bangku (ta),bangku
bangsa (ta),bangsa
banon (ta),batu bata
bantah (ta),bantah
bantal (ta),bantal
bantala (ta),tanah
banting (tk),banting
banyak (ts),angsa
banyu (ta),air
bapa (tg),bapa/ayah
bapang (ta),parit/ genangan air
bar (tkr),selesai
barang (ta),barang
barang (ta),pertunjukan kesenian berkeliling
barat (ta),angin
barep (ts),sulung
bar�s (ts),terus terang
baris (tk),baris
baruna (tg),dewa lautan
barung (ts),besar; utama
baskara (ta),matahari
bata (ta),bata
batang (tk),tebak
bathang (ta),bangkai
bathara (tsd),sebutan untuk dewa
bathari (tsd),sebutan untuk dewi
bathi (ta),keuntungan
bathok (ta),tempurung
bathuk (ta),dahi
batih (ta),keluarga
baut (ts),pintar; trampil
bawa (ta),pembukaan gending
bawang (ta),bawang
bawang lanang (ta),bawang berumbi tunggal
baw�l (ts),nyinyir
baw�ra (ts),subur (untuk lahan)
bawuk,kelamin perempuan
baya (ta),buaya
bayan (ta),petugas keamanan desa
bayar (tk),bayar
bayem (ta),bayam
bay�n (tk),melahirkan
bayi (ta),bayi
bayu (ta),angin
bebana (ta),permintaan sebagai syarat
bebandan (ta),tawanan
bebasan (tsb),seperti; layaknya
bebaya (ta),bahaya
bebayu (ta),otot
bebed (ta),kain panjang yang dipakai pria
bebedhag (tk),berburu
b�b�k (ta),itik
bebendhu (ta),hukuman
bebrayan (tk),berkeluarga
bebucal; bebucal (tk),berhajat besar
bebudhen (ta),kepribadian
bebungah (ta),hadiah
bebuwang (tk),berhajat besar
becik (ts),baik
becus (ts),mampu
b�da (tk),goda
b�da (ts),berbeda
bedaya (ta),tarian sakral yang menjadi ciri khas keraton
b�dhah (ts),terbuka paksa
bedhidhing (ta),udara dingin di musim kemarau
bedhigasan (ts),tingkahnya tidak karuan; tidak bisa diam
begawan (ta),pendeta
begundhal (ta),kaki-tangan
beja (ts),beruntung
bejat (ts),rusak
b�ka (tk),meronta
bekasakan (ta),hantu hutan
beksa (ta),tari
beksan (ta),tarian
bekti (ta),bakti
"belang (ta, ts)",belang
b�l�k (ta),kotoran mata
bel�k (tk),iris sepanjang garis tengah
belik (ta),sumber air
beling (ta),kaca
"bena (ta, ts)",banjir
bendara (ta),majikan
bendha (ta),nama pohon
bendh� (ta),gong kecil
bendhel (ta),ikatan
bendho (ta),alat pemotong (sejenis celurit)
bendhol (ta),bengkak
bener (tkr),benar
bengawan (ta),sungai
bengep (ts),sembab
bengi (ta),malam
bengkok (ta),tanah yang hak garapnya diberikan kepada lurah sebagai bagian dari fasilitas jabatan
benik (ta),kancing baju
bening (ts),jernih
benjut (ts),menjadi empuk karena tekanan/hantaman
beras (ta),beras
b�r�ng (ta),luka di sudut bibir
ber�t (ts),tergores
besar (ta),nama bulan dalam kalender jawa
b�s�r (ts),sebentar-sebentar kencing
bes�t (ts),sayat
besmi (tk),bakar
besus (ts),pandai; trampil
beta (tk),bawa
betah (tkr),betah; enggan pergi
betah; betah (tk),butuh
beth�k (ta),pintu pagar
beton (ta),biji nangka
beya (ta),biaya
binarung (tkr),seiring; diiringi
bingar (ts),ceria
binggel (ta),gelang kaki
bingget (ta),tanda dikulit akbiat jepitan atau lilitan yang ketat
biy�n (tkr),dahulu
blaka (tk),berterus terang
blalak-blalak (ts),membeliak; besar (untuk mata)
blanak (ta),jenis ikan
blarak (ta),daun kelapa kering
blat�r (ts),ramah; mudah bergaul
bledh�g (ta),guntur
bledh�h (tk),terbuka kancingnya (untuk baju)
bl�dru (tkr),salah pilih/tertukar karena mirip
bl�ncong (ta),lampu minyak untuk penerangan dalam pagelaran wayang kulit
bl�ndrang (ta),sisa masakan bersantan yeng sudah dipanaskan berkali-kali
blereng (ts),tidak nampak jelas; kabur
blesek (tk),membenamkan ke dalam tumpukan
blirik (ts),"berbintik kecil  (mis. panci, ayam)"
bloloken (tkr),silau
blondho (ta),endapan yang dihasilkan dalam pembuatan minyak kelapa
blorok (ts),bulunya berbintik hitam putih (untuk ayam betina)
bluluk (ta),buah kelapa yang masih sebesar telur
bocah (ta),anak
bodho (ts),bodoh
bodong (ts),pusar yang menonjol keluar
boga (ta),pangan
bojo (ta),suami/isteri
bokong (ta),pantat
bokor (ta),mangkuk besar
bolong (ts),berlubang
bolot (ta),daki
bonang (ta),"alat musik pukul, bagian dari gamelan"
bong (ta),makam Cina
bong (ta),tukang khitan
bong (tk),bakar
borok (ta),luka lama
boyong (tk),pindah
brabak (tk),berubah merah (wajah)
brahala (ta),raksasa sebesar gunung
brahmana (ta),pendeta
"bramantya (ts, ta)","marah, kemarahan"
brambang (ta),bawang merah
brangasn (ts),mudah marah
branta (ta),asmara
brastha (tk),berantas
br�wok (ta),bercambang
brindhil (ts),habis jarena dicabuti
brobos (tk),masuk melalui celah atau kolong
brodhol (ts),terlepas ikatannya
brojol (tk),keluar sebelum waktunya; keluar dari bungkusan
brongkos (tg),nama masakan
brudhul (tk),keluar berama-ramai/berbarengan
brukut (ts),terbungkus rapat
brutu (ta),tunggir ayam
bubar (ts),bubar; selesai
bubul (ta),semacam bisul di telapak kaki
bubur (ta),bubur
bubut (tk),mencabuti
buda (tg),rabu
budeg (ts),tuli
budeng (tg),kera hitam
bujana (ta),hidangan
bujel (ts),tumpul
bulak (ta),daerah terbuka/ padang
bulak (ts),pudar warnanya
bulan (ta),bulan
bumbu (ta),bumbu; rempah-rempah
bumbung (ta),tempat berbentuk pipa besar atau terbuat dari bambu
bumpet (ts),tersumbat
bunder (ts),bundar
bundhas (ts),melecet (cedera)
bundhel (ts),ujungnya membulat
bundhet (ts),diberi ikatan mati pada ujungnya (mis. benang)
bung (ta),rebung
bungah (ts),gembira
bungkem (tk),diam; tidak mau mengatakan apa-apa
bungkik (ts),kerdil
bungkil (ta),ampas minyak kacang
bungkus (ta),bungkus
bungur (tg),nama tanaman
buntel (tk),bungkus
buntet (ts),buntu; tidak berongga
buntil (ta),"masakan terbuat dari kelapa muda, ikan teri dan daun keladi sebagai pembungkus"
buntu (ts),buntu
buntung (tsa),hilang/patah bagian ujungnya
burek (ts),legap
bureng (ts),tidak jelas terlihat
buri (tkr),belakang
burik (ts),bopeng
buru (tk),kejar
buruh (ta),bekerja untuk orang lain
busana (ta),pakaian
busana (tk),berpakaian
buthak (ts),botak
buthuk (ts),membusuk (untuk ikan)
buwang (tk),buang
buyut (ta),cicit
buyuten (ts),bagian tubuhnya bergerak-gerak tidak terkendali karena ketuaan
cabar (ts),kehilangan arti
cab� (ta),nama rempah untuk jamu
cacat (ts),cacat
cadhong (tk),menadahkan tangan
cagak (ta),tongkat/penyangga
cakepan (ta),lirik lagu
cakot (tk),gigit
cakra (ta),senjata dalam pewayangan; lingkaran
cambah (ta),tauge
campur (tk),campur
candala (ts),jahat
candhik kala (ta),semburat merah di langit pada saat senja hari
candra (ta),bulan
candra (ta),kiasan
candramawa (ta),kucing hitam
cangkem (ta),mulut
cangking (tk),jinjing
cangkir (ta),cangkir
cangklong (ta),pipa
cangklong (tk),menyandang di bahu (mis. tas)
canthas (ts),bicaranya lantang (untuk wanita)
canth�l (ta),sejenis jagung
cantheng (ta),"radang di jari, umumnya di ibu jari kaki akibat tertusuk kuku"
canthing (ta),alat untuk membatik
canthol (tk),cantol
cantrik (tg),murid padepokan
capil (ta),"topi petani, bentuknya bulat  berujung runcing"
caping (ta),"topi petani, bentuknya bulat  berujung runcing"
caplak (ta),penyakit kulit
caplok (tk),memasukkan semua ke dalam mulut
cara (ta),cara
caraka (ta),utusan
carang (ta),ranting
carita (ta),cerita
carup (tk),raup
cath�k (tk),gigit (anjing)
cathet (tk),catat
catur (ts),empat
caturan (tk),bercakap-cakap
cawang (ta),tanda V
caw�-caw� (tk),"turun tangan, ikut campur"
cawet (ta),celana dalam
cawik (tk),cebok
cawis (tk),sedia
cawuk (tk),mengambil dengan cara menyendokkan tangan
cecak (ta),cicak
cedhak (ts),dekat
c�dhal (ts),cadel; tidak bisa mengucapkan bunyi tertentu dengan benar
cegat (tk),hadang
cekak (ts),tidak mencukupi; ukurannya tidak memadai; pendek sekali
cekakakan (tk),tertawa-tawa dengan keras
cekakik (ta),ampas kopi (sisa setelah diminum)
cekel (tk),pegang
c�k�r (ta),kaki unggas
celak (ta),penegas garis tepi mata
celak (ta),penegas garis tepi mata
celak (ts),dekat
celempung (ta),alat musik bagian dari gamelan
celuk (tk),panggil
cemani (ts),hitam
cemawis (ts),tersedia
cem�ng (ta),anak kucing
cemeng (ta),hitam
cem�t (ts),pipih karena tertimpa/tertekan beban berat
cemplang (ts),"tidak sedap/ kurang pas (mis. nada, rasa)"
cemplung (tk),masuk (dalam cairan)
cendhak (ts),pendek
cengkir (ta),"buah kelapa yang masih sebesar kepalan, belum berdaging buah"
cepak (ts),"tersedia, siap"
cepak-cepak (tk),siap-siap
cepeng; cepeng    ( (tk),pegang
ceplus (tk),gigit (untuk cabai)
cepuk (ta),"wadah kecil, biasanya untuk menyimpan perhiasan"
cerek (ta),"tanda bunyi ""re"" pada aksara Jawa"
c�r�t (ta),cerek
ceriwis (ts),banyak bicara
cetha (tkr),jelas
ceth�k (tk),dangkal
cethik (tk),menyalakan (api)
cethil (ts),pelit
c�thok (ta),sendok semen
cethot (tk),cubit besar
cicil (tk),angsur
cicip (tk),merasai
cidra (tk),curi; culik
cidra (tk),tidak menepati janji
cilaka (ts),celaka
cilik (ts),kecil
cingak (ts),terkejut karena heran
clim�n (tkr),kecil-kecilan
clingus (ts),"pemalu, tidak percaya diri"
clom�tan (tk),berteriak tak beraturan/bersahutan
cluluk (tk),tiba-tiba berkata
cluluk (tk),tiba-tiba berkata
cluthak (ts),"suka mencuri makanan (untuk hewan, terutama kucing)"
cocot (ta),mulut (kasar)
colok (ta),penerangan/ obor
colong (tK),curi
congor (ta),hidung binatang berkaki empat
conth�ng (ta),coret silang
coplok (tkr),tanggal
copot (ta),tanggal/cabut
coro (ta),kecoa
cotho (ts),repot karena ditinggalkan; kehilangan andalan
crah (tkr),bercerai; saling bermusuhan
cubles (tk),menusuk dengan benda runcing
cubluk (ts),bodoh
cucakrawa (ta),nama burung
cucuk (ta),paruh
culek (tk),mencolok mata
culik (tk),culik
culik (tk),mengambil sebagian nasi yang sedang dimasak
cundrik (ta),keris kecil
cunduk (ta),tusuk
cungkup (ta),atap makam
cupet (ts),terbatas
cupu (ta),"wadah kecil, biasanya untuk menyimpan perhiasan"
curek (ta),kotoran telinga
cures (ts),habis/tertumpas
curut (ta),tikus bermoncong runcing
cuthik (ta),tongkat penunjuk/ potongan dahan
cuwa (ts),kecewa
cuwil (tk),mengambil sebagian kecil
cuwil (tkr),terkoyak/terpotong /pecah  sedikit di bagian tepi
dadak (ta),"harus, terpaksa"
dadakan (ta),pemicu timbulnya permasalahan
dadakan (tkr),tanpa rencana
dadar (ta),makanan/ telor digoreng melebar tipis
dad�n-dad�n (ts),jadi-jadian
dadi (ts),jadi
dados; dados (ts),jadi
dagang (tk),berdagang
dahana (ta),api
dahuru (ta),huru-hara
dahw�n (ta),suka mencerca
dalah  (tpy),dan; bersama dengan
dalan  (ta),jalan
dalem  (ta),rumah
"dalu; dalu (ta, tkr)",malam
damar  (ta),lak
damar (ta),pelita
dam�n (ta),barang padi
dami (ta),jerami nangka
damu (tk),tiup
danawa,raksasa
dandan (tk),bersolek/ merias diri
dandan-dandan (tk),memperbaiki bangunan (rumah dsb.)
dandang (ta),periuk nasi
dandos; dandos (tk),perbaiki
dapur,wajah; dapur
dara (ta),burung dara
dara (ts),betina muda (untuk ayam)
darb� (tk),"milik, mempunyai"
darma (ta),"darma, kewajiban dalam hidup"
dasa (tw),puluh
dawa (ts),panjang
dawet (ta),cendol
daya (ta),daya
daya-daya (tkr),bersegera
d�d� (tkr),bukan
degan (ta),kelapa muda
deling (ta),bambu
dem�k (tk),pegang
d�n� (tpy),sedangkan
dengkul (ta),lutut
d�sa (ta),desa
d�wa (ta),dewa
dhadha,mengakui kesalahan
dhadha (ta),dada
dhadhak (ta),getah
dhadhakmerak (ta),pemain dalam kesenian reog yang memakai hiasan bulu merak di kepalanya
dhadhal (ts),runtuh terbawa arus air
dhadhu (ta),dadu
dhadhung (ta),tali
dhagelan (ta),lawak
dhalang (ta),dalang
dhangka (ta),tempat asal
dhawah; dhawah (tk),jatuh
dhawuh (ta; tk),ucapan; perintah; memerintahkan
dhayoh (ta),tamu
dh�dh� (tkr),berjemur
dh�dh�l (ts),terlepas jahitannya
dh�dh�s (ta),bau harum yang keluar dari tubuh musang
dhedhes (tk),mendesak seseorang dengan pertanyaan agar ybs mengaku/ membuka rahasia
dhemen (tk),suka
dh�mp�t (ts),melekat/rapat
dh�ndh�ng (ta),daging dikeringkan dengan bumbu tertentu
dh�w� (tkr),sendiri; sendirian
dhidhis (tk),mencari kutu di kepala sendiril
dhingklang (ts),pincang
dhingkluk (tk),tunduk/menghadak ke bawah
dhodhog (tk),ketuk pintu
dhodhos (tk),lubangi dari bawah
dhompol (tw),untaian dalam 1 tangkai  (untuk buah)
dhondhong (ta),nama buah
dhongkol (ta),mantan pejabat
dhoyong (ts),miring
dhudha (ta),duda
dhupak (tk),tendang menggunakan tumit
dhuwit (ta),uang
dhuwur (ts),tinggi
dingklik (ta),bangku kecil
disik (tkr),terlebih dulu
dluwang (ta),kertas
dolan (tk),bertandang
"dolanan (ta, tk)","bermain, mainan, permainan"
donga (ta),doa
dora (tkr),tidak terus terang
dosa (ta),dosa
dr�ng�s (ta),bunga sirih
driji (ta),jari
dubang (ta),ludah merah/ ludah orang yang makan sirih
duduh (ta),kuah
duduh (tk),beritahu
dugang (tk),tendang dengan lutut
dulit (tk),colek
dulur (ta),saudara
dumuk (tk),sentuh
dumunung (tk),berada; bertempat
dunung (ta),tempat
duratmaka (ta),pencuri
duren (ta),durian
durung (tkr),belum
dustha (tk),curi
duwa (tk),"tentang, lawan, tidak menyetujui"
dwi (tw),dua
�ca; �ca (ts),enak
�dan (ts),gila
eden (tk),ejan
�dhum (ts),terlindung dari sinar matahari
�di (ts),indah
�ka (tw),satu
elar (ta),bulu unggas
�l�k (ts),jelek
"�ling (tk, ts)","ingat, sadar"
�lok (tkr),"aneh, ajaib"
eluk (tk),tekuk
�man (tk),sayang kalau hilang atau rusak
embah (ta),nenek/kakek
embuh (tpw),entah
emoh (tk),tidak mau
emplok (tk),memasukkan ke mulut
empuk (ts),lembut
emut (tk),kulum
�mut ; �mut (tk),ingat
enak (ts),enak
�nc�r (ts),cair
�ndah (ts),indah
endas (ta),kepala binatang
�ndha (tk),berkelit
�ndhang (ta),gadis padepokan
�ndhang (tk),jenguk
endi (tg),mana
endog (ta),telur
enek (ts),mual
enem (tw),enam
enep (tk),endap
ener (ta),arah
�nggal (tkr),cepat
�nggal (ts),baru
�nggar (tk),hibur
engg�l�k (tkr),bangkit secara tiba-tiba
�nggok (tk),belok
enggon (ta),tempat
"enjing; enjing (ta, tkr)",pagi
entas (tk),"angkat, ambil"
ent�k (ts),habis
ent�n (tk),tunggu
ent�n-ent�n (ta),isi jajanan terbuat dari partan kelapa dimasak dengan gula merah
�nth�ng (ts),ringan
�nthong (ta),sendok nasi
�ntuk (tk),"dapat, boleh"
entup (ta),sengat
entut (ta),kentut
enyang,tawar (harga)
epang (ta),dahan
erah (tk),ambil
�ram (tk),heran
eri (ta),duri
esthi (tk),latih; pelajari
estu (tkr),"sungguh, jadi"
"esuk (ta, tkr)",pagi
�thok-�thok (tk),pura-pura
�wa (ts),kecewa
�wad�n�  (tpy),walaupun demikian
�wah (tk),ubah; berubah
�wuh (tk),rikuh; serba salah
�yang (ta),terlindung dari sinar matahari atau hujan
�yup (ts),terlindung dari sinar matahari atau hujan
gabah (ta),padi yang telah terlepas dari tangkainya
gada (ta),gada; senjata pemukul
gadhah (tk),mempunyai
gagah (ts),gagah
gagak (ta),burung pemakan bangkai
gagang (ta),tangkai
gagas (tk),pikir
gagasan (ta),pemikiran
gag� (tkr),cepat
gajah (ta),gajah
gajih (ta),lemak jenuh
galak (ts),galak
galar (ta),batang bambu; alas kasur
galengan (ta),jalur pembatas petak sawah
galih (tk),merasakan dalam hati
gaman (ta),senjata
gambang (ta),"alat musik pukul, bagian dari gamelan"
gambar (ta),gambar
gambas (ta),petola
gambir (ta),buah pinang yang sudah diolah
gambir anom (ta),nama tarian ksatria
gambyong (ta),nama tarian untuk menyambut tamu
gamel (tg),tukang merawat kuda
gamelan (ta),alat musik Jawa
gampang,senang/mudah
gampil (ts),gampang
gamping (ta),kapur tembok
ganda (ta),bau
gandarwa (ta),hantu besar hitam
gandheng (ts),gandeng
gandhes (ts),luwes
gandhol (tkr),bergantung  pada sesuatu
gandhul (tkr),tergantung (untuk benda yang berat)
ganep (ts),gebap
gangsal (tw),lima
gangsar (tkr),lancar
ganjar  (tk),ganjar
ganjaran (ta),hadiah
ganjil (ts),ganjil
gantung (tk),gantung
gaplek (ta),singkong yang dikeringkan
gapuk (ts),rapuh dimakan usia (untuk kayu)
gapyuk (tkr),tidak sengaja bertemu berhadapan
garan (ta),gagang
garing (ts),kering
garu (ta; tk),alat penggaruk tanah; menggaruk tanah
garudha (ta),"garuda, nama burung dalam mitos Jawa"
garwa (ta),suami/istri
gasik (tkr),awal
gatel (ts),gatal
gathot (ta),makanan dari gaplek
gawan (ta),bawaan
gawang-gawang (tk),terbayang
gawat (ts),gawat
gaw� (tk),buat
gayuh (tk),capai
geber (tk),layar penutup panggung
"gebug (tk, ta)",hantam badan dengan benda keras; pemukul besar
gedhang (ta),pisang
gedh� (ts),besar
gegana (ta),angkasa
gegayuhan (ta),keinginan/cita-cita
gegedhug (ta),"pimpinan (untuk kelompok penjahat, pembuat onar)"
geger (ta),punggung
g�g�r (tkr),riuh
gela (ts),kecewa
gelak (tk),percepat
gelang (ta),gelang
gelar (tk),bentang (tikar)
gelas (ta),gelas
gelem (tk),mau
gelis (tkr),cepat
gemak (ta),burung puyuh
gemang (tk),tidak mau
gembili (ta),sejenis ubi/talas
gemblak (ta),anak lelaki yang dijadikan kekasih seorang lelaki
gemblung (ts),tidak normal pikirannya
gembok (ta),gembok
gembor (ta),alat untuk menyiram tanaman
gemes (tk),gemas
gemlethak (ts),bergeletakan
gemlundung (tk),bergelundungan
gemr�gah (tk),bangkit seketika
gemrubug (tkr),menderu (suara angin)
gemrudug (tkr),pergi/datangnya dalam jumlah besar
gemuk (ta),lemak; pelumas
genah (ts),jelas
gend�r (ta),nama alat musik pukul
gendhakan (ta),wanita simpanan
gendh�ng (ts),atap seng
gendheng (ts),gila
gendhing (ta),musik Jawa
gendhuk (tg),panggilan untuk anak perempuan
gendruwo (ta),hantu besar hitam
gendul (ta),botol
geni (ta),api
g�nj�r (ta),nama sayuran
genjot (tk),genjot
g�nt�r (ta),galah
genth�ng (ts),genteng
genthong (ta),tempayan
genuk (ta),tempayan kecil
g�p�ng (ts),pipih
geplak (ta),nama jajanan terbuat dari kelapa parut dan gula
gepuk (tk),pukul
gerah (ts),sakit
gerang (ts),dewasa
ger�h (ta),ikan asin
gering (ts),sakit
germo (ta),mucikari
gero-gero (tk),menangis melolong-lolong
g�s�h (ts),berbeda; tidak pas
geseng (ts),hitam
getak (tk),hardik
getap (ts),cepat bertindak/bereaksi
getas (ts),retas; mudah patah
g�th�k (ta),rakit
gething (tk),benci
gethuk (ta),singkong rebus tumbuk
getih (ta),darah
getir  (ts),rasa antara pahit menusuk
getun (ts),menyesal
gila (ts),jijik
gilig (ts),tidak pipih
ginanjar (tk),diberi hadiah/ganjaran
giris (ts),ngeri
githok (ta),belakang leher
glangsaran (tkr),jatuh terkapar
glathik (ta),burung gelatik
glenik (tk),bujuk
glethak (tk),terletak
glindhing (tk),menggelinding; bergulir
gludhug (ta),guruh
glundhung (tk),menggelinding; terguling
gobang (ta),uang logam
goc�k (tk),berpegang
godhag (ts),mampu berbuat
"godhog (ts, tk)",rebus
godhong (ta),daun
gogor  (ta),anak harimau
gombak (ta),surai kuda
gombal (ta),kain usang
gondhal-gandhul (ts),berayun-ayun (untuk benda yang tergantung)
gondhangen (ts),bengkak setelah dikhitan
gondhelan (tk),berpegang
